chỉ tiêu,2020,2021,2022,2023
1.Các khoản phải thu,"9,784,393,000,000","7,838,680,000,000","22,728,033,000,000","25,789,586,000,000"
2.Các khoản lãi và chi phí phải thu,"12,821,354,000,000","10,901,959,000,000","13,016,124,000,000","15,555,515,000,000"
3.Tài sản thuế TNDN hoãn lại,"37,087,000,000","36,588,000,000","35,542,000,000","36,982,000,000"
4.Tài sản có khác,"3,707,796,000,000","3,567,089,000,000","3,212,892,000,000","4,482,654,000,000"
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-614,430,000,000","-568,574,000,000","-608,943,000,000","-323,360,000,000"
TỔNG TÀI SẢN CÓ,"1,516,685,712,000,000","1,761,695,792,000,000","2,120,609,384,000,000","2,300,814,314,000,000"
I.Các khoản nợ chính phủ và Ngân hàng Nhà nước,"17,222,797,000,000","25,340,018,000,000","152,752,718,000,000","35,896,488,000,000"
II.Tiền gửi và vay các tổ chức tín dụng khác,"82,260,848,000,000","98,007,392,000,000","177,221,298,000,000","182,252,124,000,000"
1.Tiền gửi của các tổ chức tín dụng khác,"40,828,386,000,000","58,953,639,000,000","137,045,455,000,000","143,990,524,000,000"
2.Vay các tổ chức tín dụng khác,"41,432,462,000,000","39,053,753,000,000","40,175,843,000,000","38,261,600,000,000"
III.Tiền gửi của khách hàng,"1,226,673,942,000,000","1,380,397,799,000,000","1,473,598,150,000,000","1,704,269,050,000,000"
"V. Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","12,853,270,000,000","14,349,996,000,000","13,237,626,000,000","12,207,729,000,000"
VI.Phát hành giấy tờ có giá,"63,236,692,000,000","123,681,757,000,000","157,051,601,000,000","189,486,736,000,000"
VII.Các khoản nợ khác,"34,791,551,000,000","33,589,804,000,000","42,557,996,000,000","53,456,988,000,000"
"1.Các khoản lãi, phí phải trả","22,428,269,000,000","21,527,269,000,000","26,051,633,000,000","34,433,979,000,000"
2.Thuế thu nhập doanh nghiệp hoãn lại phải trả,"113,813,000,000","114,444,000,000","97,371,000,000","93,602,000,000"
TỔNG NỢ PHẢI TRẢ,"1,437,039,100,000,000","1,675,366,766,000,000","2,016,419,389,000,000","2,177,897,270,000,000"
a.Vốn điều lệ,"40,220,180,000,000","50,585,239,000,000","50,585,239,000,000","57,004,359,000,000"
c.Thặng dư vốn cổ phần,"14,292,382,000,000","14,292,382,000,000","15,351,407,000,000","15,361,020,000,000"
g.Vốn khác,"267,851,000,000","267,851,000,000","267,851,000,000","345,918,000,000"
2.Quỹ của Tổ chức tín dụng,"8,064,281,000,000","9,684,951,000,000","12,447,663,000,000","12,454,226,000,000"
3.Chênh lệch tỷ giá hối đoái,"49,915,000,000","-367,882,000,000","-760,404,000,000","-803,451,000,000"
5.Lợi nhuận để lại chưa phân phối/Lỗ lũy kế,"13,517,408,000,000","8,672,557,000,000","21,576,100,000,000","33,588,517,000,000"
VIII.Vốn chủ sở hữu,"79,646,612,000,000","86,329,026,000,000","104,189,995,000,000","122,917,044,000,000"
IX.Lợi ích của cổ đông thiểu số,"3,234,595,000,000","3,193,928,000,000","4,722,139,000,000","4,966,455,000,000"
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,516,685,712,000,000","1,761,695,792,000,000","2,120,609,384,000,000","2,300,814,314,000,000"
